underlying_symbol,quote_datetime,sequence_number,root,expiration,strike,option_type,exchange_id,trade_size,trade_price,trade_condition_id,canceled_trade_condition_id,best_bid,best_ask,underlying_bid,underlying_ask,number_of_exchanges,{exchange,bid_size,bid,ask_size,ask}[number_of_exchanges]
^VIX,2016-06-01 15:22:59.525,95271723,VIX,2016-06-15,15.000,C,5,1,0.9200,35,0,0.9000,0.9500,14.6750,14.6750,1,5,8484,0.9000,32,0.9500
^VIX,2016-06-01 15:24:15.200,95569941,VIX,2016-06-15,15.000,C,5,3,0.9000,35,0,0.8500,0.9500,14.6750,14.6750,1,5,14468,0.8500,15494,0.9500
^VIX,2016-06-01 15:24:55.650,28617821,VIX,2016-06-15,15.000,C,5,3,0.9000,0,0,0.9000,0.9500,14.6750,14.6750,1,5,49,0.9000,10073,0.9500
^VIX,2016-06-01 15:24:55.650,95726754,VIX,2016-06-15,15.000,C,5,49,0.9000,0,0,0.8500,0.9500,14.6750,14.6750,1,5,15213,0.8500,9973,0.9500
^VIX,2016-06-01 15:25:56.850,95963934,VIX,2016-06-15,15.000,C,5,5,0.9000,0,0,0.8500,0.9500,14.6750,14.6750,1,5,10781,0.8500,1673,0.9500
^VIX,2016-06-01 15:26:36.600,230267184,VIX,2016-06-15,15.000,C,5,49,0.9000,0,0,0.8500,0.9000,14.6750,14.6750,1,5,20527,0.8500,162,0.9000
^VIX,2016-06-01 15:26:36.625,96049471,VIX,2016-06-15,15.000,C,5,116,0.9000,0,0,0.8500,0.9000,14.6750,14.6750,1,5,20527,0.8500,46,0.9000
^VIX,2016-06-01 15:26:36.625,96049491,VIX,2016-06-15,15.000,C,5,46,0.9000,0,0,0.8500,0.9500,14.6750,14.6750,1,5,20527,0.8500,3284,0.9500
^VIX,2016-06-01 15:37:33.725,98208376,VIX,2016-06-15,15.000,C,5,1,0.9000,0,0,0.8500,0.9500,14.6500,14.6500,1,5,21029,0.8500,6417,0.9500
^VIX,2016-06-01 15:37:35.725,98210857,VIX,2016-06-15,15.000,C,5,145,0.9000,0,0,0.8500,0.9500,14.6500,14.6500,1,5,21029,0.8500,6417,0.9500
^VIX,2016-06-01 15:39:27.950,98587325,VIX,2016-06-15,15.000,C,5,17,0.9000,0,0,0.8500,0.9500,14.6000,14.6000,1,5,18823,0.8500,9174,0.9500
^VIX,2016-06-01 15:45:44.850,99816789,VIX,2016-06-15,15.000,C,5,3,0.9000,0,0,0.8500,0.9500,14.6000,14.6000,1,5,21456,0.8500,8534,0.9500
^VIX,2016-06-01 15:48:24.775,234510273,VIX,2016-06-15,15.000,C,5,2,0.9000,0,0,0.8500,0.9500,14.6000,14.6000,1,5,10497,0.8500,7892,0.9500
^VIX,2016-06-01 15:48:24.800,100292573,VIX,2016-06-15,15.000,C,5,17,0.9000,0,0,0.9000,0.9500,14.6000,14.6000,1,5,17,0.9000,7892,0.9500
^VIX,2016-06-01 15:48:24.825,100292599,VIX,2016-06-15,15.000,C,5,81,0.9000,0,0,0.8500,0.9500,14.6000,14.6000,1,5,12857,0.8500,7892,0.9500
^VIX,2016-06-01 15:51:45.400,33854689,VIX,2016-06-15,15.000,C,5,110,0.9200,35,0,0.9000,0.9500,14.6500,14.6500,1,5,14194,0.9000,78,0.9500
^VIX,2016-06-01 15:53:34.025,369670903,VIX,2016-06-15,15.000,C,5,8,0.9500,0,0,0.9000,0.9500,14.6500,14.6500,1,5,15295,0.9000,42,0.9500
